ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
1000001,M,N,N,1,187000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23803,-4035,1,0,0,High skill tech staff,3
1000002,F,Y,Y,0,314800.0,Working,Incomplete higher,Separated,Rented apartment,-25136,-1054,0,1,0,Laborers,1
1000003,F,N,Y,0,284900.0,Working,Higher education,Married,House / apartment,-24604,-2615,0,1,0,Accountants,2
1000004,F,N,N,1,200900.0,State servant,Secondary / secondary special,Married,House / apartment,-11350,-7394,0,1,0,Medicine staff,3
1000005,M,Y,Y,2,140800.0,State servant,Secondary / secondary special,Married,With parents,-8488,-6026,0,0,0,Drivers,4
1000006,M,N,N,0,255600.0,Working,Incomplete higher,Married,House / apartment,-22982,-8849,0,1,0,High skill tech staff,2
1000007,M,N,Y,0,144800.0,Commercial associate,Higher education,Married,House / apartment,-25375,-6602,0,1,0,Managers,2
1000008,F,Y,N,3,247800.0,Working,Secondary / secondary special,Married,Office apartment,-18415,-298,1,1,0,Sales staff,5
1000009,F,N,Y,1,238500.0,Working,Lower secondary,Single / not married,Rented apartment,-10259,-2686,0,0,0,Sales staff,2
1000010,F,Y,N,0,170500.0,Working,Secondary / secondary special,Married,House / apartment,-20868,-1462,1,0,0,Core staff,2
1000011,M,N,N,1,251800.0,Working,Higher education,Married,Rented apartment,-15148,-7471,1,0,1,High skill tech staff,3
1000012,F,N,Y,4,101200.0,Pensioner,Higher education,Married,Rented apartment,-10489,365243,0,1,0,Other,6
1000013,F,N,N,2,100300.0,Working,Higher education,Married,House / apartment,-24584,-8276,0,0,0,Sales staff,4
1000014,M,N,N,1,322100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11553,-6072,0,1,0,Laborers,3
1000015,M,N,Y,0,116400.0,Pensioner,Higher education,Married,House / apartment,-22539,365243,1,0,0,Laborers,2
1000016,M,N,Y,2,217900.0,Working,Higher education,Married,House / apartment,-19787,-6741,1,0,1,Managers,4
1000017,M,Y,Y,0,294700.0,Working,Higher education,Married,House / apartment,-21861,-8153,0,0,0,Laborers,2
1000018,F,N,N,2,89700.0,Pensioner,Higher education,Married,Municipal apartment,-13264,365243,0,0,0,Core staff,4
1000019,M,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9863,-6257,0,0,1,Managers,1
1000020,M,Y,Y,0,278900.0,Working,Incomplete higher,Married,House / apartment,-9048,-2371,0,1,0,Managers,2
1000021,F,N,Y,0,222100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19106,-3047,1,1,0,Medicine staff,1
1000022,M,N,Y,0,135900.0,Working,Academic degree,Married,House / apartment,-21020,-8185,1,0,0,Managers,2
1000023,M,N,N,1,79900.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-24205,365243,1,0,0,Sales staff,2
1000024,M,Y,N,3,195600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15646,-8688,1,0,0,Managers,5
1000025,F,Y,Y,1,133500.0,Working,Secondary / secondary special,Married,House / apartment,-9960,-8786,0,1,0,Drivers,3
1000026,F,Y,Y,2,259900.0,Commercial associate,Higher education,Civil marriage,With parents,-12257,-2460,0,1,0,Drivers,4
1000027,M,N,N,0,164400.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-13913,-4285,0,1,0,Managers,2
1000028,F,Y,Y,2,197600.0,Working,Higher education,Widow,House / apartment,-22694,-6403,0,0,0,Core staff,3
1000029,F,N,Y,2,127000.0,Working,Incomplete higher,Married,House / apartment,-19794,-7401,0,0,0,Sales staff,4
1000030,M,Y,Y,1,156000.0,State servant,Secondary / secondary special,Single / not married,Rented apartment,-12101,-1824,0,0,1,Sales staff,2
1000031,F,N,Y,0,44900.0,State servant,Secondary / secondary special,Married,House / apartment,-19941,-861,0,0,0,Drivers,2
1000032,M,Y,Y,1,189100.0,Working,Incomplete higher,Single / not married,House / apartment,-18164,-6569,0,0,0,Core staff,2
1000033,M,N,N,1,254100.0,Working,Secondary / secondary special,Widow,With parents,-24556,-311,0,1,0,Core staff,2
1000034,F,Y,Y,0,90200.0,Working,Secondary / secondary special,Married,House / apartment,-9296,-6978,0,1,0,Core staff,2
