ID,MONTHS_BALANCE,STATUS
1000001,0,C
1000001,-1,X
1000001,-2,X
1000001,-3,0
1000001,-4,0
1000001,-5,X
1000001,-6,1
1000001,-7,C
1000001,-8,2
1000001,-9,C
1000001,-10,X
1000001,-11,X
1000001,-12,4
1000001,-13,C
1000001,-14,X
1000001,-15,C
1000001,-16,4
1000001,-17,2
1000001,-18,X
1000001,-19,C
1000001,-20,3
1000001,-21,5
1000001,-22,0
1000001,-23,X
1000002,0,C
1000002,-1,X
1000002,-2,1
1000002,-3,C
1000003,0,X
1000003,-1,X
1000003,-2,1
1000003,-3,0
1000004,0,0
1000004,-1,X
1000004,-2,C
1000004,-3,X
1000004,-4,C
1000004,-5,C
1000004,-6,X
1000005,0,X
1000005,-1,C
1000005,-2,C
1000005,-3,X
1000005,-4,X
1000005,-5,C
1000005,-6,C
1000005,-7,C
1000005,-8,C
1000005,-9,0
1000005,-10,C
1000005,-11,X
1000005,-12,X
1000005,-13,1
1000005,-14,C
1000005,-15,X
1000005,-16,0
1000005,-17,C
1000005,-18,0
1000006,0,C
1000006,-1,1
1000006,-2,1
1000006,-3,0
1000006,-4,X
1000006,-5,X
1000006,-6,C
1000006,-7,X
1000006,-8,0
1000006,-9,C
1000006,-10,C
1000006,-11,0
1000006,-12,C
1000006,-13,C
1000006,-14,0
1000006,-15,C
1000006,-16,C
1000006,-17,C
1000006,-18,C
1000006,-19,C
1000006,-20,C
1000006,-21,C
1000006,-22,C
1000006,-23,X
1000007,0,X
1000007,-1,X
1000007,-2,1
1000007,-3,0
1000007,-4,C
1000007,-5,0
1000007,-6,X
1000007,-7,X
1000007,-8,X
1000008,0,X
1000008,-1,0
1000008,-2,C
1000008,-3,0
1000008,-4,1
1000008,-5,0
1000008,-6,0
1000009,0,C
1000009,-1,C
1000009,-2,C
1000009,-3,C
1000009,-4,C
1000009,-5,X
1000009,-6,C
1000009,-7,C
1000010,0,C
1000010,-1,X
1000010,-2,X
1000010,-3,C
1000010,-4,C
1000010,-5,C
1000010,-6,C
1000011,0,X
1000011,-1,C
1000011,-2,0
1000011,-3,X
1000011,-4,X
1000011,-5,0
1000012,0,X
1000012,-1,C
1000012,-2,X
1000012,-3,C
1000012,-4,C
1000012,-5,0
1000012,-6,X
1000012,-7,0
1000012,-8,X
1000012,-9,X
1000012,-10,X
1000012,-11,X
1000013,0,1
1000013,-1,X
1000013,-2,1
1000013,-3,1
1000014,0,X
1000014,-1,C
1000014,-2,0
1000015,0,X
1000015,-1,C
1000015,-2,C
1000015,-3,X
1000015,-4,2
1000015,-5,C
1000015,-6,C
1000015,-7,C
1000015,-8,C
1000015,-9,C
1000015,-10,C
1000015,-11,C
1000015,-12,X
1000015,-13,X
1000015,-14,3
1000015,-15,3
1000015,-16,0
1000015,-17,C
1000015,-18,2
1000015,-19,C
1000016,0,1
1000016,-1,X
1000016,-2,X
1000016,-3,X
1000016,-4,1
1000016,-5,C
1000016,-6,1
1000016,-7,C
1000016,-8,X
1000016,-9,C
1000016,-10,C
1000016,-11,X
1000016,-12,1
1000016,-13,C
1000016,-14,X
1000016,-15,C
1000016,-16,1
1000016,-17,C
1000016,-18,X
1000016,-19,0
1000016,-20,X
1000016,-21,X
1000016,-22,0
1000017,0,C
1000017,-1,C
1000017,-2,X
1000017,-3,0
1000017,-4,X
1000017,-5,C
1000017,-6,1
1000017,-7,0
1000017,-8,1
1000017,-9,X
1000017,-10,X
1000017,-11,0
1000017,-12,C
1000017,-13,X
1000017,-14,C
1000017,-15,0
1000017,-16,C
1000017,-17,X
1000017,-18,C
1000017,-19,X
1000018,0,0
1000018,-1,X
1000018,-2,X
1000018,-3,0
1000018,-4,C
1000018,-5,C
1000018,-6,C
1000018,-7,3
1000018,-8,X
1000018,-9,X
1000018,-10,C
1000018,-11,0
1000018,-12,C
1000018,-13,0
1000018,-14,1
1000018,-15,X
1000018,-16,X
1000018,-17,C
1000018,-18,4
1000018,-19,3
1000018,-20,0
1000018,-21,2
1000019,0,C
1000019,-1,X
1000019,-2,1
1000019,-3,X
1000019,-4,X
1000019,-5,0
1000019,-6,C
1000019,-7,C
1000019,-8,C
1000019,-9,X
1000019,-10,C
1000019,-11,0
1000019,-12,C
1000019,-13,1
1000019,-14,0
1000019,-15,X
1000019,-16,C
1000019,-17,1
1000019,-18,C
1000019,-19,X
1000019,-20,X
1000019,-21,X
1000019,-22,0
1000020,0,1
1000020,-1,X
1000020,-2,C
1000020,-3,X
1000020,-4,C
1000020,-5,C
1000020,-6,C
1000020,-7,C
1000020,-8,X
1000021,0,5
1000021,-1,0
1000021,-2,C
1000021,-3,3
1000021,-4,C
1000021,-5,4
1000021,-6,1
1000021,-7,C
1000021,-8,0
1000021,-9,X
1000021,-10,C
1000021,-11,C
1000021,-12,0
1000021,-13,C
1000021,-14,X
1000021,-15,X
1000022,0,X
1000022,-1,0
1000022,-2,1
1000022,-3,C
1000022,-4,C
1000022,-5,C
1000022,-6,C
1000022,-7,1
1000022,-8,C
1000022,-9,C
1000022,-10,X
1000022,-11,0
1000022,-12,C
1000022,-13,0
1000022,-14,0
1000022,-15,X
1000022,-16,X
1000022,-17,X
1000022,-18,X
1000022,-19,1
1000022,-20,C
1000022,-21,X
1000023,0,C
1000023,-1,X
1000023,-2,2
1000023,-3,C
1000023,-4,2
1000023,-5,4
1000023,-6,4
1000023,-7,X
1000023,-8,4
1000023,-9,1
1000023,-10,X
1000023,-11,X
1000023,-12,X
1000023,-13,X
1000023,-14,C
1000023,-15,C
1000024,0,C
1000024,-1,X
1000024,-2,C
1000025,0,X
1000025,-1,C
1000025,-2,X
1000025,-3,X
1000025,-4,C
1000026,0,C
1000026,-1,C
1000026,-2,C
1000026,-3,C
1000026,-4,C
1000026,-5,C
1000026,-6,C
