CODE_GENDER_ENC,FLAG_OWN_CAR_ENC,FLAG_OWN_REALTY_ENC,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE_ENC,NAME_EDUCATION_TYPE_ENC,NAME_FAMILY_STATUS_ENC,NAME_HOUSING_TYPE_ENC,AGE_YEARS,EMPLOYMENT_YEARS,IS_CURRENTLY_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE_ENC,CNT_FAM_MEMBERS,TARGET
1,0,0,1,187000.0,0,4,1,1,65,11.1,1,1,0,0,3,3,1
0,1,1,0,314800.0,4,2,2,4,68,2.9,1,0,1,0,4,1,0
0,0,1,0,284900.0,4,1,1,1,67,7.2,1,0,1,0,0,2,0
0,0,0,1,200900.0,2,4,1,1,31,20.3,1,0,1,0,6,3,0
1,1,1,2,140800.0,2,4,1,5,23,16.5,1,0,0,0,2,4,0
1,0,0,0,255600.0,4,2,1,1,62,24.2,1,0,1,0,3,2,0
1,0,1,0,144800.0,0,1,1,1,69,18.1,1,0,1,0,5,2,0
0,1,0,3,247800.0,4,4,1,3,50,0.8,1,1,1,0,8,5,0
0,0,1,1,238500.0,4,3,3,4,28,7.4,1,0,0,0,8,2,0
0,1,0,0,170500.0,4,4,1,1,57,4.0,1,1,0,0,1,2,0
1,0,0,1,251800.0,4,1,1,4,41,20.5,1,1,0,1,3,3,0
0,0,1,4,101200.0,1,1,1,4,28,0.0,0,0,1,0,7,6,0
0,0,0,2,100300.0,4,1,1,1,67,22.7,1,0,0,0,8,4,0
1,0,0,1,322100.0,0,4,1,1,31,16.6,1,0,1,0,4,3,0
1,0,1,0,116400.0,1,1,1,1,61,0.0,0,1,0,0,4,2,1
1,0,1,2,217900.0,4,1,1,1,54,18.5,1,1,0,1,5,4,0
1,1,1,0,294700.0,4,1,1,1,59,22.3,1,0,0,0,4,2,0
0,0,0,2,89700.0,1,1,1,2,36,0.0,0,0,0,0,1,4,1
1,0,1,0,171000.0,4,4,3,1,27,17.1,1,0,0,1,5,1,0
1,1,1,0,278900.0,4,2,1,1,24,6.5,1,0,1,0,5,2,0
0,0,1,0,222100.0,4,4,3,1,52,8.3,1,1,1,0,6,1,1
1,0,1,0,135900.0,4,0,1,1,57,22.4,1,1,0,0,5,2,0
1,0,0,1,79900.0,1,4,2,1,66,0.0,0,1,0,0,8,2,1
1,1,0,3,195600.0,0,4,1,1,42,23.8,1,1,0,0,5,5,0
0,1,1,1,133500.0,4,4,1,1,27,24.1,1,0,1,0,2,3,0
0,1,1,2,259900.0,0,1,0,5,33,6.7,1,0,1,0,2,4,0
1,0,0,0,164400.0,2,4,0,1,38,11.7,1,0,1,0,5,2,1
0,1,1,2,197600.0,4,1,4,1,62,17.5,1,0,0,0,1,3,0
0,0,1,2,127000.0,4,2,1,1,54,20.3,1,0,0,0,8,4,0
1,1,1,1,156000.0,2,4,3,4,33,5.0,1,0,0,1,8,2,0
0,0,1,0,44900.0,2,4,1,1,54,2.4,1,0,0,0,2,2,0
1,1,1,1,189100.0,4,2,3,1,49,18.0,1,0,0,0,1,2,0
1,0,0,1,254100.0,4,4,4,5,67,0.9,1,0,1,0,1,2,1
0,1,1,0,90200.0,4,4,1,1,25,19.1,1,0,1,0,1,2,0
0,0,0,2,210500.0,4,4,3,1,51,20.7,1,0,0,0,3,3,0
0,1,1,3,188700.0,0,4,1,1,31,10.1,1,1,0,0,6,5,1
1,0,1,0,230600.0,4,4,1,1,58,10.0,1,0,1,0,3,2,0
1,0,0,1,190000.0,4,1,1,1,67,22.9,1,1,0,0,5,3,0
0,1,1,1,205500.0,4,1,1,1,24,16.8,1,0,1,0,6,3,0
1,0,1,1,163600.0,2,1,1,1,27,12.5,1,1,0,1,5,3,0
1,0,1,0,263700.0,4,4,1,5,43,20.5,1,1,0,0,7,2,0
0,1,1,2,201900.0,4,1,1,1,51,18.6,1,0,0,0,6,4,0
1,0,0,0,30100.0,3,4,1,1,37,1.0,1,1,0,0,5,2,1
0,1,1,0,248300.0,0,3,3,4,30,24.0,1,0,1,0,0,1,0
1,0,0,2,156800.0,4,1,1,1,42,10.2,1,0,0,0,7,4,0
0,0,1,1,190200.0,4,4,1,1,50,0.4,1,0,0,1,3,3,1
1,1,1,2,153600.0,4,4,1,1,49,22.5,1,1,0,1,4,4,0
0,0,0,0,137400.0,4,4,0,1,37,2.1,1,0,1,0,3,2,1
0,0,0,0,192600.0,4,4,1,5,63,1.4,1,0,0,0,6,2,0
1,0,1,3,183500.0,4,1,4,2,41,19.2,1,0,0,0,7,4,0
0,0,1,0,247000.0,4,4,1,2,42,7.8,1,0,0,0,4,2,0
0,0,1,2,153900.0,4,0,1,1,68,9.7,1,0,0,0,2,4,0
0,0,0,2,55200.0,4,4,1,2,59,17.3,1,0,0,0,2,4,0
0,1,0,1,157100.0,4,1,1,1,60,0.8,1,0,1,0,6,3,0
0,0,0,0,77500.0,4,4,1,1,68,23.4,1,0,1,0,0,2,0
0,0,1,1,183300.0,2,4,1,1,68,14.2,1,0,0,0,2,3,0
1,0,0,2,99400.0,0,0,1,4,42,14.5,1,0,1,0,3,4,1
1,0,1,0,117700.0,4,2,1,1,47,19.8,1,0,0,0,6,2,0
1,0,1,0,209600.0,0,1,3,2,43,16.3,1,0,1,0,3,1,0
1,0,1,0,277300.0,4,1,0,1,24,10.6,1,0,1,0,2,2,0
1,0,0,0,149900.0,0,0,1,5,46,3.3,1,0,1,1,4,2,1
1,1,0,2,241000.0,0,1,1,1,59,19.4,1,0,0,1,6,4,0
0,0,1,2,288700.0,0,4,1,1,37,1.0,1,0,1,0,6,4,0
1,0,1,4,364700.0,0,4,1,0,23,7.1,1,0,1,0,3,6,0
1,1,0,1,229000.0,4,1,3,1,37,0.6,1,0,1,0,0,2,0
0,0,1,1,331900.0,0,1,3,1,63,9.2,1,0,0,0,0,2,0
1,0,1,0,234500.0,4,1,1,2,60,5.0,1,0,1,0,1,2,0
0,1,0,1,103800.0,4,4,1,2,39,6.7,1,0,1,0,3,3,1
1,1,0,1,180100.0,2,3,1,1,59,9.5,1,0,0,0,0,3,0
0,1,1,2,233500.0,4,1,0,1,38,6.6,1,0,0,0,6,4,0
0,0,1,2,106400.0,2,1,1,1,48,5.9,1,1,1,0,1,4,0
1,1,1,3,143500.0,4,4,4,1,35,1.6,1,1,1,0,6,4,0
1,1,1,2,129400.0,4,0,4,1,46,5.3,1,0,1,0,1,3,0
0,0,0,2,228700.0,4,1,0,1,55,11.8,1,0,0,0,7,4,0
0,1,1,0,234200.0,0,1,1,1,36,18.3,1,0,1,0,1,2,0
0,1,0,2,159800.0,4,3,1,1,35,24.5,1,0,0,0,8,4,0
0,1,1,1,99300.0,4,3,1,1,25,1.2,1,1,0,0,6,3,0
1,0,1,0,175800.0,4,4,4,1,66,0.8,1,1,0,0,3,1,0
1,0,1,0,192300.0,0,3,1,1,44,13.9,1,0,0,0,7,2,0
1,1,0,1,195300.0,4,1,3,1,22,22.9,1,0,0,1,6,2,0
0,0,1,0,72000.0,1,4,4,1,56,0.0,0,1,0,0,3,1,1
0,0,1,0,191200.0,4,4,0,5,65,18.5,1,0,1,0,8,2,0
1,1,1,1,152300.0,4,4,3,2,68,13.0,1,0,0,0,8,2,0
1,1,1,2,101300.0,4,1,1,1,51,22.2,1,0,0,0,1,4,0
1,1,1,2,85700.0,2,1,1,1,50,8.5,1,1,0,1,6,4,0
1,0,1,0,105800.0,4,4,1,5,32,13.4,1,0,0,0,2,2,0
0,0,1,0,167000.0,4,2,4,4,57,5.2,1,1,0,0,7,1,0
0,1,1,0,125100.0,1,2,2,1,41,0.0,0,0,0,1,2,1,0
0,0,1,0,197000.0,4,1,1,1,32,19.6,1,0,0,0,2,2,0
0,1,1,0,265800.0,0,3,1,1,60,20.2,1,0,0,0,6,2,0
1,0,1,3,132200.0,4,2,3,1,57,21.5,1,0,1,0,6,4,1
0,0,1,1,246700.0,4,4,1,3,55,5.4,1,0,0,1,1,3,0
0,1,1,0,152100.0,4,1,1,5,42,13.8,1,0,0,0,6,2,0
0,0,0,0,208400.0,4,3,1,1,65,16.9,1,1,0,1,0,2,0
0,1,1,0,113100.0,1,4,4,5,56,0.0,0,0,0,0,3,1,1
0,0,1,0,135800.0,1,0,4,1,28,0.0,0,0,1,1,8,1,1
0,1,1,0,166500.0,4,4,1,1,47,2.6,1,0,0,0,2,2,0
1,0,0,3,182000.0,2,1,3,1,47,22.2,1,0,0,0,1,4,0
1,1,0,0,179500.0,4,1,1,1,56,3.8,1,0,0,0,7,2,0
1,0,0,0,231300.0,4,1,3,1,27,3.8,1,1,0,1,2,1,0
1,1,1,0,171200.0,0,1,1,1,23,17.4,1,0,0,0,6,2,0
0,0,1,1,91300.0,0,1,1,5,24,25.0,1,0,0,1,2,3,0
1,1,0,0,118700.0,4,1,1,1,44,9.6,1,0,0,1,7,2,0
0,0,0,0,329800.0,0,1,1,1,28,20.4,1,0,0,0,4,2,0
0,1,1,0,170300.0,4,1,0,1,65,17.1,1,0,1,1,3,2,0
1,1,0,1,247700.0,0,1,4,1,33,5.5,1,1,0,0,6,2,0
1,0,0,0,75700.0,1,2,3,1,29,0.0,0,1,1,1,0,1,0
0,1,1,0,245500.0,0,4,3,1,40,12.0,1,0,1,0,1,1,0
1,1,1,0,115600.0,4,1,1,1,40,7.7,1,0,0,0,1,2,1
1,0,1,0,166400.0,0,4,1,5,25,20.1,1,1,1,1,4,2,0
1,0,1,0,206200.0,0,1,3,5,66,1.2,1,0,0,0,4,1,0
1,1,0,0,208000.0,4,4,1,1,25,9.1,1,0,0,0,8,2,0
